  nnod     Lon    Lat      Cost    hs      dir   
   5211   10.095  37.300   0.000  2.23 301.40 
   5460   10.095  37.325   0.101  2.45 296.50 
   6455   10.070  37.425   0.531  3.68 287.96 
   6704   10.070  37.450   0.641  3.80 286.47 
   6953   10.070  37.475   0.752  3.90 285.09 
   7202   10.070  37.500   0.865  3.98 283.71 
   8197   10.045  37.600   1.374  4.30 278.66 
   9192   10.020  37.700   1.922  5.42 279.17 
  10187    9.995  37.800   2.568  6.25 280.52 
  11182    9.970  37.900   3.269  6.51 278.53 
  12177    9.945  38.000   4.027  6.79 279.44 
  13172    9.920  38.100   4.762  6.55 279.59 
  13421    9.920  38.125   4.938  6.51 279.13 
  13670    9.920  38.150   5.097  6.46 278.64 
  13919    9.920  38.175   5.246  6.41 278.08 
  14168    9.920  38.200   5.394  6.36 277.48 
  14417    9.920  38.225   5.541  5.71 277.09 
  14666    9.920  38.250   5.685  5.65 276.39 
  14915    9.920  38.275   5.829  5.60 275.69 
  15910    9.895  38.375   6.385  5.39 273.21 
  16905    9.870  38.475   6.918  5.01 273.36 
  17900    9.845  38.575   7.422  4.79 272.49 
  18895    9.820  38.675   7.906  4.30 273.22 
  19890    9.795  38.775   8.366  4.02 271.27 
  20885    9.770  38.875   8.810  3.46 267.84 
  21880    9.745  38.975   9.236  3.00 262.68 
  22129    9.745  39.000   9.338  2.88 261.13 
  22378    9.745  39.025   9.440  2.76 259.51 
  22627    9.745  39.050   9.540  2.54 261.68 
  23622    9.720  39.150   9.942  1.97 266.58 
  23871    9.720  39.175  10.040  1.85 281.05 
  24120    9.720  39.200  10.138  1.75 300.21 
  24369    9.720  39.225  10.236  1.67 328.44 
  24618    9.720  39.250  10.334  1.61 346.49 
  24867    9.720  39.275  10.431  1.56   1.76 
  25116    9.720  39.300  10.528  1.57  10.18 
  25365    9.720  39.325  10.625  1.56  13.30 
  25614    9.720  39.350  10.722  1.55  14.51 
  25863    9.720  39.375  10.819  1.55  15.67 
  26112    9.720  39.400  10.916  1.55  17.39 
  26361    9.720  39.425  11.013  1.53  20.41 
  26610    9.720  39.450  11.110  1.52  22.56 
  26859    9.720  39.475  11.207  1.52  24.27 
  27108    9.720  39.500  11.303  1.51  26.00 
  27357    9.720  39.525  11.400  1.50  27.96 
  27606    9.720  39.550  11.497  1.49  29.48 
  27855    9.720  39.575  11.593  1.47  28.37 
  28104    9.720  39.600  11.690  1.47  29.45 
  28353    9.720  39.625  11.787  1.47  30.33 
  28602    9.720  39.650  11.883  1.46  31.32 
  28851    9.720  39.675  11.980  1.46  32.16 
  29100    9.720  39.700  12.076  1.45  32.99 
  29349    9.720  39.725  12.173  1.44  33.87 
  29598    9.720  39.750  12.269  1.43  34.44 
  29847    9.720  39.775  12.365  1.42  34.95 
  30096    9.720  39.800  12.462  1.41  35.44 
  30345    9.720  39.825  12.558  1.39  34.92 
  30594    9.720  39.850  12.654  1.38  35.39 
  30843    9.720  39.875  12.751  1.36  36.02 
  31092    9.720  39.900  12.847  1.35  36.32 
  31341    9.720  39.925  12.943  1.31  36.99 
  31590    9.720  39.950  13.038  1.28  37.43 
  31839    9.720  39.975  13.134  1.16  39.07 
  32836    9.745  40.075  13.525  1.53  26.26 
  33833    9.770  40.175  13.921  1.67  14.75 
  34830    9.795  40.275  14.319  1.65  16.43 
  35827    9.820  40.375  14.715  1.53  24.93 
  36824    9.845  40.475  15.111  1.74  20.70 
  37073    9.845  40.500  15.209  1.75  20.01 
  37322    9.845  40.525  15.307  1.76  19.29 
  38317    9.820  40.625  15.707  1.77  18.13 
  39312    9.795  40.725  16.107  1.80  17.40 
  40307    9.770  40.825  16.507  1.77  18.53 
  40556    9.770  40.850  16.605  1.79  17.79 
  41549    9.695  40.950  17.049  1.70  20.75 
  42294    9.645  41.025  17.371  1.63  23.93 
  43287    9.570  41.125  17.811  1.52  26.79 
  43784    9.545  41.175  18.015  1.50  26.35 
  44529    9.495  41.250  18.336  1.49  21.61 
  44777    9.470  41.275  18.456  1.52  14.49 
  45272    9.395  41.325  18.752  1.97 312.44 
  45517    9.295  41.350  19.067  1.92 293.01 
  45516    9.270  41.350  19.141  1.92 287.48 
  45515    9.245  41.350  19.216  1.91 282.00 
  45514    9.220  41.350  19.290  1.94 280.12 
  45513    9.195  41.350  19.365  1.98 279.04 
  45512    9.170  41.350  19.440  2.04 278.72 
  45757    9.070  41.375  19.758  2.20 277.93 
  46004    9.020  41.400  19.941  2.19 278.06 
  46251    8.970  41.425  20.123  2.21 278.16 
  46498    8.920  41.450  20.305  2.21 279.10 
  46745    8.870  41.475  20.488  2.22 280.37 
  46992    8.820  41.500  20.670  2.28 281.88 
  47985    8.745  41.600  21.125  2.39 285.09 
  48731    8.720  41.675  21.429  2.19 281.59 
  49726    8.695  41.775  21.829  2.17 285.27 
  50223    8.670  41.825  22.038  2.14 283.23 
  50720    8.645  41.875  22.246  2.03 281.71 
  51715    8.620  41.975  22.643  2.06 290.02 
  52461    8.595  42.050  22.945  2.00 288.15 
  52958    8.570  42.100  23.152  1.98 291.00 
  53703    8.520  42.175  23.489  2.36 315.50 
  54200    8.495  42.225  23.707  2.35 322.73 
  54945    8.445  42.300  24.051  2.48 334.86 
  55690    8.395  42.375  24.397  2.58 343.83 
  56435    8.345  42.450  24.745  2.54 348.27 
  57180    8.295  42.525  25.094  2.59 352.74 
  57925    8.245  42.600  25.442  2.64 356.20 
  58668    8.145  42.675  25.865  2.60   1.38 
  59411    8.045  42.750  26.286  2.57   7.78 
  59659    8.020  42.775  26.410  2.55   9.51 
  59907    7.995  42.800  26.534  2.45  10.62 
  60900    7.920  42.900  26.988  2.35  18.02 
  61893    7.845  43.000  27.438  2.24  25.64 
  62886    7.770  43.100  27.886  2.09  31.78 
  63879    7.695  43.200  28.330  1.88  40.71 
